OBJECTID,pointid,grid_code,PR_mean,ETP_mean,Balance_me,stress_probability
3169,3169,1.0000000,397.4758301,1143.0582275,-745.5823975,1.0000000
3170,3170,1.0000000,418.3974609,1089.6271973,-671.2297974,1.0000000
3171,3171,1.0000000,432.8474121,1053.4349365,-620.5875854,1.0000000
3172,3172,1.0000000,457.4339600,1004.9905396,-547.5565796,1.0000000
3173,3173,1.0000000,502.4082947,922.5117188,-420.1034241,1.0000000
3174,3174,0.9692310,515.1992798,885.6647949,-370.4654846,0.9692308
3175,3175,0.9538460,544.4811401,848.3135376,-303.8323975,0.9538462
3176,3176,0.9692310,529.2601318,868.0985107,-338.8383484,0.9692308
3177,3177,1.0000000,472.6150818,951.7830811,-479.1679993,1.0000000
3178,3178,1.0000000,480.6103516,954.6489868,-474.0386353,1.0000000
3179,3179,0.9692310,539.4984131,870.0363159,-330.5379028,0.9692308
3180,3180,0.9538460,572.3951416,820.9312134,-248.5361023,0.9538462
3181,3181,0.9692310,528.7622681,888.0979004,-359.3356628,0.9692308
3182,3182,1.0000000,510.8766785,929.5197754,-418.6430969,1.0000000
3183,3183,1.0000000,512.8658447,936.3031006,-423.4372559,1.0000000
3184,3184,0.9692310,540.2061157,894.7115479,-354.5054016,0.9692308
3185,3185,0.9692310,553.7022095,858.5264282,-304.8242493,0.9692308
3186,3186,0.9692310,522.2058716,892.7639771,-370.5580750,0.9692308
3187,3187,0.9846150,520.7042236,896.2775879,-375.5733643,0.9846154
3188,3188,0.9692310,541.6266479,860.2676392,-318.6409912,0.9692308
3189,3189,0.9692310,524.4407349,874.0342407,-349.5935059,0.9692308
3190,3190,1.0000000,503.8718262,906.7890015,-402.9172058,1.0000000
3191,3191,1.0000000,486.7810059,924.6743774,-437.8933716,1.0000000
3192,3192,1.0000000,473.5998535,931.6313477,-458.0314636,1.0000000
3193,3193,1.0000000,476.3105164,925.1231079,-448.8126221,1.0000000
3194,3194,1.0000000,479.7504272,915.2076416,-435.4572144,1.0000000
